track_name,date_listened,artist_name,ms_played
'Helden' - German Version 1989 Remix; 2002 Remaster,2022-09-29T22:18:00Z,David Bowie,13205
Rikki Don't Lose That Number,2022-09-29T22:18:00Z,Steely Dan,17746
Music For A Sushi Restaurant,2022-09-29T22:21:00Z,Harry Styles,193813
Good As Hell (Feat. Ariana Grande),2022-09-29T22:24:00Z,Lizzo,159011
I Feel It All,2022-09-29T22:34:00Z,Feist,7993
Tornados,2022-09-07T20:23:00Z,Subculture,248432
Glycobiology (Carbs) With Michelle Dookwah,2022-09-30T01:16:00Z,Ologies with Alie Ward,604838
Stay With Me,2022-09-30T10:03:00Z,Faces,279360
We Might Be Dead By Tomorrow,2022-09-30T10:09:00Z,Soko,8195
Lovely Day / Good As Hell Mashup,2022-09-30T10:09:00Z,Pomplamoose,4819
"Suite Bergamasque, L. 75: No. 3, Clair De Lune (Arr. L. Caillet For Orchestra)",2022-09-30T10:09:00Z,Claude Debussy,5023
Ada,2022-09-30T10:09:00Z,The National,243200
Daintree,2022-09-30T10:10:00Z,Bree Tranter,0
All At Sea,2022-09-30T10:10:00Z,Jamie Cullum,0
Salinas,2022-09-30T10:10:00Z,Laura Marling,544
Everything,2022-09-30T10:10:00Z,Michael Bublé,0
Never Gonna Be Alone (Feat. Lizzy Mcalpine & John Mayer),2022-09-07T20:23:00Z,Jacob Collier,1907
Goodmorning,2022-09-30T10:10:00Z,Bleachers,0
E Dagger,2022-09-30T10:10:00Z,Lagwagon,1229
Thank You,2022-09-30T10:10:00Z,Jared Emerson-Johnson,34194
Parade,2022-09-30T10:10:00Z,Justice,0
Daintree,2022-09-30T10:12:00Z,Bree Tranter,78663
Salinas,2022-09-30T10:23:00Z,Laura Marling,38521
30,2022-09-30T13:09:00Z,Bo Burnham,152055
Tangerine,2022-09-30T13:12:00Z,Glass Animals,200583
Stay The Night,2022-09-30T13:13:00Z,Jukebox The Ghost,3614
Forever Young,2022-09-30T13:17:00Z,Rod Stewart,248000
Treat People With Kindness,2022-09-07T20:27:00Z,Harry Styles,194929
Just One Look,2022-09-30T13:21:00Z,The Derevolutions,239990
Early Morning Breeze,2022-09-30T13:33:00Z,Kishi Bashi,15139
Peanut Butter Jelly,2022-09-30T18:36:00Z,Galantis,0
Love On Me,2022-09-30T18:40:00Z,Galantis,205026
Hip To Be Square,2022-09-30T18:40:00Z,Huey Lewis & The News,4036
Shake It Off,2022-09-30T18:44:00Z,Taylor Swift,219200
Everybody Have Fun Tonight,2022-10-01T00:29:00Z,Wang Chung,233269
Everybody Have Fun Tonight,2022-10-01T17:14:00Z,Wang Chung,287360
"Naru, Embracing The Light (Feat. Rachel Mellis)",2022-10-01T17:16:00Z,Gareth Coker,84077
Losing Lisa,2022-10-01T17:22:00Z,Ben Folds,250866
Hope,2022-09-07T20:27:00Z,Jain,2446
Talk - Single Edit,2022-10-01T17:32:00Z,Two Door Cinema Club,44396
Ooh La La,2022-10-01T21:15:00Z,Faces,27271
Ooh La La,2022-10-01T21:18:00Z,Faces,185563
Maybe I'm Amazed,2022-10-01T21:23:00Z,Faces,334066
Accross The Sea - Original Mix,2022-10-01T21:25:00Z,Faces,97517
Silicone Grown,2022-10-01T21:28:00Z,Faces,188160
Stay With Me,2022-10-01T21:29:00Z,Faces,26975
Around The Plynth,2022-10-01T21:39:00Z,Faces,75763
'Helden' - German Version 1989 Remix; 2002 Remaster,2022-10-01T21:52:00Z,David Bowie,220706
"At Least It Was Here (""Community"" Main Title) [Full Length Version]",2022-10-01T22:05:00Z,The 88,85472
Anyone For You (Tiger Lily),2022-09-07T20:30:00Z,George Ezra,187682
Hell Of A Ride (Studio),2022-10-02T13:47:00Z,Bo Burnham,263998
No Surprises,2022-10-02T13:51:00Z,Radiohead,229120
Wandering Aengus,2022-10-02T13:55:00Z,Johnny Flynn,227400
"Bedroom Calling, Pt. 2 (Feat. The-Dream)",2022-10-02T14:02:00Z,Chromeo,30410
California Stars,2022-10-02T14:07:00Z,Billy Bragg,16137
Teardrop,2022-10-02T15:47:00Z,Massive Attack,23
Goodbye,2022-10-02T15:47:00Z,Bo Burnham,1795
City Of New Orleans,2022-10-02T15:50:00Z,Me First and the Gimme Gimmes,184013
Verisimilitude,2022-10-02T16:03:00Z,Thomas Newman,6455
1234,2022-10-02T18:23:00Z,Feist,1098
Music For A Sushi Restaurant,2022-09-07T20:41:00Z,Harry Styles,84543
Verisimilitude,2022-10-02T18:23:00Z,Thomas Newman,3073
Beady Eyes On The Horizon,2022-10-02T18:23:00Z,Jukebox The Ghost,23
The Great Unknown,2022-10-02T18:23:00Z,Jukebox The Ghost,1322
Don't You (Forget About Me) - Triple J Like A Version,2022-10-02T18:40:00Z,Boy & Bear,160171
